Acidaminococcus,Actinomyces,Adlercreutzia,Agathobacter,Akkermansia,Alistipes,Allisonella,Alloprevotella,Anaerofilum,Anaerofustis,Anaeroplasma,Anaerostipes,Anaerotruncus,Atopobium,Bacteroides,Barnesiella,Barnesiellaceae,Bifidobacteriaceae,Bifidobacterium,Bilophila,Blautia,Butyricicoccus,Butyricimonas,Butyrivibrio,CAG-352,CAG-56,CAG-873,Candidatus_Soleaferrea,Caproiciproducens,Catenibacterium,Christensenella,Christensenellaceae,Christensenellaceae_R-7_group,Citrobacter,Cloacibacillus,Clostridiales_vadinBB60_group,Clostridium_sensu_stricto_1,Collinsella,Comamonas,Coprobacillus,Coprobacter,Coprococcus,Coriobacteriaceae_UCG-003,Coriobacteriales_Incertae_Sedis,Cronobacter,DTU089,Defluviitaleaceae_UCG-011,Desulfovibrio,Desulfovibrionaceae,Dialister,Dielma,Dorea,Eggerthella,Eggerthellaceae,Eisenbergiella,Enorma,Enterobacter,Enterobacteriaceae,Enterococcaceae,Enterococcus,Enterorhabdus,Epulopiscium,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichaceae_UCG-003,Escherichia/Shigella,Eubacterium,Faecalibacterium,Faecalicoccus,Faecalitalea,Family_XIII,Family_XIII_AD3011_group,Family_XIII_UCG-001,Finegoldia,Flavonifractor,Fournierella,Fusicatenibacter,GCA-900066225,GCA-900066575,GCA-900066755,Gemella,Gordonibacter,Granulicatella,Haemophilus,Hafnia-Obesumbacterium,Holdemanella,Holdemania,Howardella,Hungatella,Intestinibacter,Intestinimonas,Klebsiella,Lachnoclostridium,Lachnospira,Lachnospiraceae,Lachnospiraceae_NC2004_group,Lachnospiraceae_UCG-003,Lactobacillus,Lactococcus,Lactonifactor,Leuconostoc,Libanicoccus,Marvinbryantia,Megamonas,Megasphaera,Melissococcus,Merdibacter,Methanobrevibacter,Mitsuokella,Muribaculaceae,Negativibacillus,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Oscillospira,Oxalobacter,Parabacteroides,Paraprevotella,Parasutterella,Parvimonas,Pediococcus,Peptoclostridium,Peptococcus,Peptostreptococcus,Phascolarctobacterium,Phocaeicola,Phocea,Porphyromonas,Prevotella_2,Prevotella_7,Prevotella_9,Prevotellaceae_NK3B31_group,Pseudomonas,Pygmaiobacter,Pyramidobacter,Raoultella,Raoultibacter,Rikenella,Rikenellaceae_RC9_gut_group,Robinsoniella,Romboutsia,Roseburia,Rothia,Ruminiclostridium,Ruminiclostridium_1,Ruminiclostridium_5,Ruminiclostridium_6,Ruminiclostridium_9,Ruminococcaceae,Ruminococcaceae_UCG-007,Ruminococcaceae_UCG-008,Ruminococcaceae_UCG-009,Ruminococcaceae_UCG-010,Ruminococcaceae_UCG-011,Ruminococcus,Saccharimonadaceae,Sanguibacteroides,Sarcina,Scardovia,Selenomonas_4,Sellimonas,Senegalimassilia,Shuttleworthia,Slackia,Solobacterium,Staphylococcaceae,Staphylococcus,Streptococcus,Subdoligranulum,Sutterella,Synergistes,Terrisporobacter,Turicibacter,Tyzzerella,UBA1819,UC5-1-2E3,Veillonella,Veillonellaceae,Weissella
TKI_F1,0,0,0,0,1,11286,0,0,0,0,0,0,0,0,2860,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1149,0,0,0,678,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,0,0,2,0,0,4,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,24186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0
TKI_F10,1,0,0,0,81,2702,0,0,5,0,0,2,0,0,20470,33,0,0,1,0,29,1,0,47,0,0,0,0,40,0,0,0,16,0,0,3,4,14,0,0,0,2,0,0,0,3,0,0,0,0,11,4,0,1,43,0,0,0,0,2565,0,0,4,214,0,0,0,3,0,0,0,2,0,0,2,0,1,5,0,0,0,2,0,0,0,0,0,1,201,1,0,0,15,0,1370,0,0,15,1,0,0,0,0,0,0,1,3,1,0,0,0,134,0,0,1,0,0,1088,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,459,0,0,0,2,0,14,0,0,68,0,0,350,4,0,0,0,0,5,5,23,0,0,0,0,0,2,0,0,0,0
TKI_F11,2,4,0,1,5,1730,0,0,2,0,0,1,0,0,7042,246,0,0,12,11,10,0,0,0,0,0,0,0,1,0,0,3,29,0,19,212,148,1,0,0,31,0,0,0,5,0,0,1,4,0,1914,1,1,0,0,0,1,5,0,67,6,0,0,95,0,5514,0,56,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,254,0,0,1,0,113,1,0,14,0,0,36,0,0,0,0,0,0,0,0,4,2,2,0,0,121,1,0,0,1,6,9413,0,2,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,0,0,3,2,0,262,0,0,0,1,0,27,0,0,0,0,0,1,1,0,1,0,0,0,3,17,0,54,0,5,0,1,0,1,0,0
TKI_F12,0,0,0,0,41,2283,0,103,0,3,0,41,937,4,11289,942,2,0,1,238,10,0,126,0,0,0,0,7,0,0,171,6,619,0,2511,5,0,48,0,0,0,13,0,2,0,4,6,277,48,357,0,0,28,0,143,0,0,0,0,37,0,0,5,5,0,4008,3,0,0,0,33,12,0,0,1,0,1,8,0,18,65,0,0,0,0,0,4,0,155,0,62,1,3096,0,242,0,0,1,0,0,0,0,15,0,0,0,0,76,0,0,0,178,0,0,66,0,0,1441,0,4,119,0,0,0,60,0,1,0,210,0,53,0,4,0,0,3328,0,0,0,0,0,0,2,1,0,42,11,1,4,1443,0,0,0,9,0,1,0,0,0,0,76,0,0,0,0,0,0,1,24,19,173,0,0,0,0,36,0,4,0,0
TKI_F13,0,17,1,58,9,267,2,0,0,0,0,84,1,7,4718,39,0,0,17,1,574,3,5,0,0,0,0,10,6,0,3,6,127,0,0,2,2223,127,0,2,2,12,0,6,0,3,2,0,0,2,0,122,3,20,5,0,3,0,57,1692,35,0,642,2,58,3183,3,81,0,0,14,41,3,1,2,0,13,5,0,0,1,0,3,6,0,130,0,16,53,108,1,1,119,30,1952,0,0,2489,8,0,0,0,7,0,0,97,4,15,0,0,5,3,0,0,7,0,6,19,0,5,13,1,50,99,0,6,191,0,0,0,0,21,2,73,0,0,0,0,0,0,27,2233,7,1,0,0,56,0,15,698,0,25,0,10,0,166,0,0,1,0,1,7,17,0,9,0,0,0,801,102,10,0,232,149,1,8,12,6,0,0
TKI_F14,0,5,8,994,88,325,0,0,10,1,0,142,2,0,890,24,22,0,461,13,2063,112,53,348,0,0,237,2,38,1,3,9,569,0,14,28,117,188,4,0,12,168,0,229,0,46,2,68,6,0,0,255,2,18,17,1,0,0,0,171,0,0,1,2,35,27,1,1699,9,22,8,60,25,0,9,0,119,2,5,2,0,0,0,0,0,0,0,2,3,291,25,11,223,299,2133,0,0,77,0,0,0,0,60,0,0,0,7,4,0,292,62,22,464,0,96,65,4,256,33,16,0,0,0,0,0,174,3,0,1,0,14,2,1,1,2,7,0,0,47,37,0,32,223,0,27,0,268,166,64,2166,5,0,0,42,6,1360,2,1,0,0,0,7,10,3,0,0,0,0,13,1273,6,9,53,5,0,2,12,0,0,0
TKI_F15,0,0,0,11,1,13,0,0,0,0,0,10,0,0,185,18,4,0,68,0,7,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,18,25,3,2,0,39,0,0,0,0,0,0,0,0,1,0,0,8,1,0,25,0,0,899,8,0,1,0,2,33,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,9,0,0,16,3,66,1,24,13,7,36,0,0,4,0,0,0,5,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,42,0,2,3,0,0,0,0,11,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,198,7,0,0,0,3,1,2,35,0,0,0,1,0,681,0,0,0,0,0,2,28,0,9,1,0,481,17,34,0,0,0,0,0,0,0,1,0,0
TKI_F16,0,222,0,0,0,3,0,0,0,0,0,758,0,87,124,0,0,1,533,0,91,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,672,0,0,0,0,0,0,0,0,0,0,0,531,0,46,0,0,0,0,3,0,78,10475,0,0,0,4,0,0,4,174,0,0,0,1,0,0,1,0,0,0,0,0,22,0,0,0,0,1,0,0,36,2,0,151,223,0,46,0,0,1173,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,9,0,25,1,0,0,0,0,0,0,0,0,0,264,0,1,0,0,0,0,0,0,0,0,1,0,143,0,0,1,0,0,10,0,0,0,0,0,4,0,0,0,1,0,1,0,44,0,0,25,8009,2586,99,0,0,0,0,8,3,0,149,0,0
TKI_F17,0,2,0,0,7,149,3,0,0,0,0,8,2,2,764,22,0,2,1045,3,24,0,32,20,0,0,0,3,11,0,2,16,35,2,0,2,7,89,0,0,21,10,0,23,8,59,0,110,3,3,0,0,0,0,3,0,1877,2,22,11272,0,0,0,3,0,331,0,20,0,25,0,8,0,0,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,5,73,111,7,62,0,0,471,0,0,0,0,1,0,0,13,99,51,0,2,1,62,26,0,0,38,2,45,0,4,1,0,0,0,0,244,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,12,378,0,0,0,10,1,6,0,2,0,0,0,107,9,0,12,0,1,762,62,4,0,0,0,0,0,18,12,35,0,0
TKI_F18,0,0,0,0,14,2838,0,1,251,1,0,10,38,0,11538,674,0,0,1,0,30,0,0,2,0,0,0,0,6,0,0,4,82,0,1,5,10,0,0,0,125,19,0,0,0,17,0,73,0,0,11,4,25,0,89,0,0,0,0,1,0,0,0,76,0,42,35,34,0,0,1,2,0,0,440,0,1,3,1,8,0,2,0,0,0,0,4,0,79,4,2,38,3124,0,1070,0,0,5,0,0,0,0,202,0,0,0,0,0,0,0,10,1,0,0,4,7,0,8309,379,0,0,0,0,0,0,63,0,42,0,0,0,7,11,0,0,0,0,1,0,0,1,1,6,0,4,0,101,0,6,564,0,0,6,5,0,23,0,0,0,0,0,1,0,7,0,0,0,3,7,108,0,0,93,1,0,321,0,0,0,0
