Agaricus,Aspergillus,Aureobasidium,Candida,Cladosporium,Debaryomyces,Dipodascus,Filobasidium,Issatchenkia,Malassezia,Meyerozyma,Paraphaeosphaeria,Penicillium,Piskurozyma,Rhodotorula,Saccharomyces,Sclerotiniaceae,Vishniacozyma
TKI_F1,2,5348,0,24551,20,4,1,2,8,15,5,3,550,0,7,1,0,4
TKI_F10,5,2668,0,8201,413,1,7,1107,0,3541,11,0,506,0,622,3858,0,8
TKI_F11,80,1728,0,232604,21,48,3,42,1,127,12,28,232,0,1,150,20,28
TKI_F12,3,7062,0,13005,586,1777,3,1844,53,5506,782,5,1542,0,988,879,1,1111
TKI_F13,17,3504,0,118982,42,25,0,33,25,88,30,8,378,0,17,55,5,5
TKI_F14,3277,7006,25,70847,787,1819,36,540,0,4601,36,1417,3134,0,10,7308,713,371
TKI_F15,11740,29861,257,15939,3116,7007,333,10761,89,20367,5,7688,12778,0,53,30510,2550,1022
TKI_F16,391,1006,7,303,76,171,8,99,0,594,2,151,343,0,4,1018,61,23
TKI_F17,8,8858,11,43961,25,6,3,7,3,62,18,4,1008,0,11,8,6,51
TKI_F18,7,7343,0,36168,5,6,31,6,2,66,2,11,673,0,11,12,13,2
TKI_F19,146,541,5,1031180,68,125,13,37,4,296,4,92,178,0,1,295,54,27
TKI_F2,1,10362,0,47754,22,18,4,50,0,160,3,4,1299,0,20,141,1,5
TKI_F20,8812,23198,118,36132,3292,2808,198,2543,3037,36358,350,4485,2752,0,548,18089,2747,2120
TKI_F21,14429,45489,350,18634,4370,2704,494,3440,4266,58305,258,9270,1376,0,416,53068,4588,2460
TKI_F22,13481,35674,223,22106,4851,3724,327,2567,2134,45037,399,8368,2682,0,276,27641,2938,3261
TKI_F23,13494,42996,512,17896,3387,8645,304,1984,589,27063,1,8027,15599,0,3,39186,1829,1063
TKI_F24,387,1025,11,10935,143,233,13,49,20,719,0,251,372,0,1,1027,86,30
TKI_F25,1,13,1,161,0,1,1,1,4,3,4,0,4,0,2,3,1,0
TKI_F26,6,31,0,642,0,3,7,22,4,54,3,3,6,0,3,7,5,13
TKI_F27,1217,3113,21,9575,268,611,39,197,12,1752,0,573,852,0,0,2435,368,80
TKI_F28,0,16229,0,10228,280,3,227,123,10827,88,338,4,542,0,3002,2,1,5
TKI_F29,3,14223,0,5048,101,159,0,769,3892,359,1193,0,65,0,1011,27,1,480
