type,OTU1,OTU2,gmcoda,glasso,SEGL,SEMB
1&1,Alistipes,Agathobacter,-0.0467814013289746,0,0,0
1&1,Anaerostipes,Agathobacter,0.0714541236209362,0,0,0
1&1,Bifidobacterium,Agathobacter,0.0865937605683131,0,0,0
1&1,Dorea,Agathobacter,0.120214792415115,0.00837279490182954,0.0148389879669085,0
1&1,Escherichia.Shigella,Agathobacter,-0.0417124382832421,0,-0.0412249851205499,0
1&1,Faecalibacterium,Agathobacter,0.155484914823926,0,0,1
1&1,Family_XIII_AD3011_group,Agathobacter,-0.118033045372781,0,-0.0267263464421525,1
1&1,Fusicatenibacter,Agathobacter,0.314199433117209,0.0567870854655591,0.132164766515616,1
1&1,Lactobacillus,Agathobacter,-0.00881626535076855,0,0,0
1&1,Romboutsia,Agathobacter,0.0222955296113427,0,0,0
1&1,Roseburia,Agathobacter,0.324095090532068,0.0722741331109318,0.137426528484958,1
1&1,Ruminiclostridium_5,Agathobacter,-0.0793261993860984,0,0,0
1&1,Ruminococcaceae,Agathobacter,-0.127233269985682,0,0,0
1&1,Ruminococcus,Agathobacter,0.134276126580146,0,0,1
1&1,Streptococcus,Agathobacter,0.0001284803127533,0,0,0
1&1,UBA1819,Agathobacter,-0.119728853200546,0,0,1
1&2,Aspergillus,Agathobacter,-0.214117088272862,0,-0.0277472935581023,1
1&2,Meyerozyma,Agathobacter,-0.00980595278518813,0,0,0
1&2,Sclerotiniaceae,Agathobacter,0.0534876654970546,0,0,0
1&1,Bifidobacterium,Akkermansia,-0.032871803483128,0,0,0
1&1,Clostridium_sensu_stricto_1,Akkermansia,-0.0226887177065187,0,0,0
1&1,Collinsella,Akkermansia,-0.0140539590906954,0,0,0
1&1,Family_XIII_AD3011_group,Akkermansia,0.0717657554193375,0,0,0
1&1,Fusicatenibacter,Akkermansia,-0.192711169160903,0,0,0
1&1,Parabacteroides,Akkermansia,-0.0061750119728919,0,0,0
1&1,Prevotellaceae_NK3B31_group,Akkermansia,0.106779112905237,0,0,0
